EAN,PurchasePriceExclVAT,RecommendedPriceInclVAT,BrandName,Sell Price,Color,Offer ID
7394094157607,220,549,Sovtex,378,Not Sure,30a90b995bacdcc57067f1e4fcc2b881
7394094157607,220,549,Peace of Home,476,Not Sure,f1d17c6ef979ec454d63d8385806a0ea
7394094235923,373,929,Peace of Home,747,Not Sure,6b7a02f6f1c53e8a7181409e2a1a9ab9
7394094235923,373,929,Peace of Home,809,Not Sure,308f570604e7caa706fa10dbce5ec3d0
7394094235930,373,929,Peace of Home,747,Not Sure,6b7a02f6f1c53e8a7181409e2a1a9ab9
7394094235930,373,929,Peace of Home,809,Not Sure,308f570604e7caa706fa10dbce5ec3d0
