Article Name,Extracted Color,Extracted Size,Matched
"Romeo GLAZED Emerald Green, H 24cm, Vase",Grön,Ø24 cm,Yes
"Romeo GLAZED Emerald Green, H 13 cm, Cachepot",Grön,Ø13 cm,Yes
"Romeo GLAZED Emerald Green, H 15,5 cm, Cachepot",Grön,Unknown Size,No
"Romeo GLAZED Emerald Green, H 18,5 cm, Cachepot",Grön,Unknown Size,No
"Romeo GLAZED Emerald Green, H 25 cm, Cachepot",Grön,Ø25 cm,Yes
"Simona GLAZED Emerald Green, Ø 12 cm, Set",Grön,Ø12 cm,Yes
"Simona GLAZED Emerald Green, Ø 14 cm, Set",Grön,Ø14 cm,Yes
"Simona GLAZED Emerald Green, Ø 16 cm, Set",Grön,Ø16 cm,Yes
"Simona GLAZED Emerald Green, Ø 18 cm, Set",Grön,Ø18 cm,Yes
"Simona GLAZED Amber Yellow, Ø 12 cm, Set",Gul,Ø12 cm,Yes
"Simona GLAZED Amber Yellow, Ø 14 cm, Set",Gul,Ø14 cm,Yes
"Simona GLAZED Amber Yellow, Ø 16 cm, Set",Gul,Ø16 cm,Yes
"Simona GLAZED Amber Yellow, Ø 18 cm, Set",Gul,Ø18 cm,Yes
"Simona RAW Grey, Ø 12 cm, Set",Grå,Ø12 cm,Yes
"Simona RAW Grey, Ø 14 cm, Set",Grå,Ø14 cm,Yes
"Simona RAW Grey, Ø 16 cm, Set",Grå,Ø16 cm,Yes
"Simona RAW Grey, Ø 18 cm, Set",Grå,Ø18 cm,Yes
"Simona RAW Rosa, Ø 12 cm, Set",Rosa,Ø12 cm,Yes
"Simona RAW Rosa, Ø 14 cm, Set",Rosa,Ø14 cm,Yes
"Simona RAW Rosa, Ø 16 cm, Set",Rosa,Ø16 cm,Yes
"Simona RAW Rosa, Ø 18 cm, Set",Rosa,Ø18 cm,Yes
"Willow GLAZED Emerald Green, H 25 cm, Vase",Grön,Ø25 cm,Yes
"Willow GLAZED Emerald Green, H 35 cm, Vase",Grön,Ø35 cm,Yes
"Willow GLAZED Emerald Green, H 45 cm, Vase",Grön,Ø45 cm,Yes
"Willow GLAZED White, H 25 cm, Vase",Vit,Ø25 cm,Yes
"Willow GLAZED White, H 35 cm, Vase",Vit,Ø35 cm,Yes
"Willow GLAZED White, H 45 cm, Vase",Vit,Ø45 cm,Yes
"Campana RAW Grey, Ø 60 cm, Pot",Grå,Ø60 cm,Yes
"Campana RAW Grey, Ø 80 cm, Pot",Grå,Ø80 cm,Yes
"Campana RAW Grey, Ø 105 cm, Pot",Grå,Ø105 cm,Yes
"Campana RAW Rosa, Ø 60 cm, Pot",Rosa,Ø60 cm,Yes
"Campana RAW Rosa, Ø 80 cm, Pot",Rosa,Ø80 cm,Yes
"Campana RAW Rosa, Ø 105 cm, Pot",Rosa,Ø105 cm,Yes
"Cilindro RAW Grey, Ø 30 cm, Pot",Grå,Ø30 cm,Yes
"Cilindro RAW Grey, Ø 40 cm, Pot",Grå,Ø40 cm,Yes
"Cilindro RAW Grey, Ø 50 cm, Pot",Grå,Ø50 cm,Yes
"Cilindro RAW Grey, Ø 62 cm, Pot",Grå,Ø62 cm,Yes
"Cilindro RAW Grey, Ø 72 cm, Pot",Grå,Ø72 cm,Yes
"Cilindro RAW Rosa, Ø 30 cm, Pot",Rosa,Ø30 cm,Yes
"Cilindro RAW Rosa, Ø 40 cm, Pot",Rosa,Ø40 cm,Yes
"Cilindro RAW Rosa, Ø 50 cm, Pot",Rosa,Ø50 cm,Yes
"Cilindro RAW Rosa, Ø 62 cm, Pot",Rosa,Ø62 cm,Yes
"Cilindro RAW Rosa, Ø 72 cm, Pot",Rosa,Ø72 cm,Yes
"Erbe RAW Grey, Ø 40 cm, Bowl",Grå,Ø40 cm,Yes
"Erbe RAW Grey, Ø 50 cm, Bowl",Grå,Ø50 cm,Yes
"Erbe RAW Rosa, Ø 40 cm, Bowl",Rosa,Ø40 cm,Yes
"Erbe RAW Rosa, Ø 50 cm, Bowl",Rosa,Ø50 cm,Yes
Lion Paw RAW Grey,Grå,Unknown Size,No
Lion Paw RAW Rosa,Rosa,Unknown Size,No
Lion Head RAW Grey,Grå,Unknown Size,No
Lion Head RAW Rosa,Rosa,Unknown Size,No
"Lucca RAW Grey, Ø 40 cm, Pot",Grå,Ø40 cm,Yes
"Lucca RAW Grey, Ø 50 cm, Pot",Grå,Ø50 cm,Yes
"Lucca RAW Grey, Ø 60 cm, Pot",Grå,Ø60 cm,Yes
"Lucca RAW Grey, Ø 70 cm, Pot",Grå,Ø70 cm,Yes
"Lucca RAW Grey, Ø 80 cm, Pot",Grå,Ø80 cm,Yes
"Lucca RAW Rosa, Ø 40 cm, Pot",Rosa,Ø40 cm,Yes
"Lucca RAW Rosa, Ø 50 cm, Pot",Rosa,Ø50 cm,Yes
"Lucca RAW Rosa, Ø 60 cm, Pot",Rosa,Ø60 cm,Yes
"Lucca RAW Rosa, Ø 70 cm, Pot",Rosa,Ø70 cm,Yes
"Lucca RAW Rosa, Ø 80 cm, Pot",Rosa,Ø80 cm,Yes
"Olivia RAW Grey, H 60 cm, Pot",Grå,Ø60 cm,Yes
"Olivia RAW Grey, H 70 cm, Pot",Grå,Ø70 cm,Yes
"Olivia RAW Grey, H 80 cm, Pot",Grå,Ø80 cm,Yes
"Olivia RAW Grey, H 90 cm, Pot",Grå,Ø90 cm,Yes
"Piccolina RAW Grey, Ø 30 cm, Pot",Grå,Ø30 cm,Yes
"Piccolina RAW Grey, Ø 35 cm, Pot",Grå,Ø35 cm,Yes
"Piccolina RAW Grey, Ø 40 cm, Pot",Grå,Ø40 cm,Yes
"Piccolina RAW Rosa, Ø 30 cm, Pot",Rosa,Ø30 cm,Yes
"Piccolina RAW Rosa, Ø 35 cm, Pot",Rosa,Ø35 cm,Yes
"Piccolina RAW Rosa, Ø 40 cm, Pot",Rosa,Ø40 cm,Yes
"Triangle foot RAW Grey, Large",Grå,Unknown Size,No
"Triangle foot, Grey, Small",Grå,Unknown Size,No
"Triangle Foot RAW Rosa, Large",Rosa,Unknown Size,No
"Triangle foot, Rosa, Small",Rosa,Unknown Size,No
