EAN,Store,Price,Product ID,Featured
5712195086398,N/A,N/A,13994834,N/A
5712195086398,Rum21,585,N/A,Yes
5712195086398,RoyalDesign,585,N/A,Yes
5712195086336,N/A,N/A,13894323,N/A
