EAN,Brand Color,PurchasePriceExclVAT,RecommendedPriceInclVAT
7332623421393,Beige,57,149
7332623421409,,38,99
7332623421423,Beige,30,79
7332623421430,Beige,23,59
7332623421416,Beige,307,799
7332623421881,Beige,107,279
7332623422079,Beige,127,329
7332623421461,Rosa,38,99
7332623421478,Rosa,115,299
7332623421485,Rosa,30,79
7332623421447,Beige,346,899
7332623421454,Beige,307,799
7332623421898,Beige,211,549
7332623421492,Rosa,23,59
7332623421621,Beige,115,299
7332623421645,Grå,134,349
7332623421652,Offwhite,1538,3999
7332623421669,Offwhite,2307,5999
7332623421676,Offwhite,99,0
7332623421744,Offwhite,192,499
7332623421751,Offwhite,692,1799
7332623421768,Beige,192,499
7332623422093,Gul,96,249
7332623422109,Beige,96,249
7332623422116,Beige,96,249
7332623421713,Rosa,65,169
7332623421720,Multi,65,169
7332623422055,,0,0
7332623422024,,0,0
7332623422048,,0,0
7332623422642,Grön,153,399
7332623422598,Offwhite,115,299
7332623422758,Brun,96,249
7332623422659,Guld,115,299
7332623422673,Röd,107,279
7332623422666,Grön,107,279
7332623423083,Guld,107,279
7332623422604,Röd,96,249
7332623422611,Röd,38,99
7332623422499,Vit,192,499
7332623422703,Röd,27,69
7332623422697,Röd,346,899
7332623422567,Grön,153,399
7332623422574,Offwhite,153,399
7332623422581,Offwhite,153,399
7332623422765,Röd,307,799
7332623422772,Röd,30,79
7332623422789,Röd,96,249
7332623422796,Röd,69,179
7332623422802,Röd,34,89
7332623422864,Röd,307,799
7332623422826,Röd,384,999
7332623422833,Multi,50,129
7332623419079,Brun,192,499
7332623421553,Beige,69,179
7332623418812,Vit,115,299
7332623418829,Vit,211,549
7332623419406,Vit,88,229
7332623420914,Grå,153,399
7332623420891,Grå,769,1999
7332623420907,Grå,1038,2699
7332623420426,Offwhite,173,449
7332623418911,Svart,134,349
7332623418904,Svart,107,279
7332623418928,Svart,346,899
7332623420129,Brun,115,299
7332623420136,Brun,192,499
7332623419055,Offwhite,"192,00","499,00"
7332623419062,Beige,"192,00","499,00"
7332623419024,Offwhite,"269,00","699,00"
7332623419031,Beige,"269,00","699,00"
7332623419048,Brun,"269,00","699,00"
7332623421508,Beige,"73,00","189,00"
7332623421515,Beige,"127,00","329,00"
7332623421522,Beige,"69,00","179,00"
7332623421539,Beige,"384,00","999,00"
7332623421546,Beige,"577,00","1 499,00"
7332623419390,Grå,"423,00","1 099,00"
7332623419208,Brun,"50,00","299,00"
7332623419154,Brun,"134,00","349,00"
7332623419161,Brun,"107,00","279,00"
7332623419246,Grå,"134,00","349,00"
7332623418959,Grå,"173,00","449,00"
7332623418997,Multi,"500,00","1 299,00"
7332623419017,Multi,"77,00","199,00"
7332623418867,Offwhite,"153,00","399,00"
7332623418874,Grå,"153,00","399,00"
7332623418881,,"153,00","399,00"
7332623419222,Brun,"73,00","189,00"
7332623419277,Natur,"57,00","149,00"
7332623419260,Natur,"230,00","599,00"
7332623419307,Offwhite,"692,00","1 799,00"
7332623419291,Offwhite,"1 923,00","4 999,00"
7332623419284,Offwhite,"184,00","479,00"
7332623419352,Brun,"769,00","1 999,00"
7332623419345,Brun,"115,00","299,00"
7332623419376,Natur,"192,00","499,00"
7332623419369,Natur,"500,00","1 299,00"
7332623419383,Natur,"730,00","1 899,00"
7332623420006,Brun,"173,00","449,00"
7332623420013,,"173,00","449,00"
7332623420020,Brun,"230,00","599,00"
7332623420037,Grå,"173,00","449,00"
7332623419413,Brun,"38,00","99,00"
7332623419437,Beige,"7 692,00","19 999,00"
7332623419420,Beige,"3 846,00","9 999,00"
7332623419444,Beige,"1 153,00","2 999,00"
7332623419499,Brun,"69,00","179,00"
7332623419536,Brun,"107,00","279,00"
7332623419550,Brun,"30,00","79,00"
7332623419543,Brun,"307,00","799,00"
7332623419581,Offwhite,"769,00","1 999,00"
7332623419598,Brun,"769,00","1 999,00"
7332623419604,Brun,"184,00","479,00"
7332623419628,Brun,"230,00","599,00"
7332623420099,Vit,"19,00","49,00"
7332623420044,Vit,"57,00","149,00"
7332623420068,Vit,"211,00","549,00"
7332623419802,Vit,"192,00","499,00"
7332623419819,Vit,"230,00","599,00"
7332623419826,Vit,"250,00","649,00"
7332623419833,Vit,"269,00","699,00"
7332623419840,Vit,"384,00","999,00"
7332623419857,Vit,"769,00","1 999,00"
7332623419864,Vit,"288,00","749,00"
7332623420440,Vit,"307,00","799,00"
7332623420075,Vit,"692,00","1 799,00"
7332623420082,Vit,"692,00","1 799,00"
7332623420457,Vit,"107,00","279,00"
7332623420464,Vit,"107,00","279,00"
7332623419925,Brun,"115,00","299,00"
7332623419932,Brun,"615,00","1 599,00"
7332623421867,Grön,"127,00","329,00"
7332623420471,Turkos,"127,00","329,00"
7332623420488,Turkos,"769,00","1 999,00"
7332623420495,Turkos,"115,00","299,00"
7332623421683,Beige,"57,00","149,00"
7332623421690,Beige,"57,00","149,00"
7332623421706,Beige,"107,00","279,00"
7332623421836,Transparant,"77,00","199,00"
7332623421843,Transparant,"88,00","229,00"
7332623421850,Transparant,"77,00","199,00"
7332623419468,Brun,"65,00","169,00"
7332623416993,Beige,"769,00","1 999,00"
7332623420167,Transparant,"30,00","79,00"
7332623418065,Offwhite,"153,00","399,00"
7332623418072,Beige,"153,00","399,00"
7332623415675,Lila,"650,00","0,00"
7332623415682,Lila,"90,00","399,00"
7332623416566,Brun,"173,00","449,00"
7332623416580,Brun,"384,00","999,00"
7332623416573,Grön,"384,00","999,00"
7332623418287,Offwhite,"127,00","329,00"
7332623418331,Brun,"127,00","329,00"
7332623418294,Brun,"127,00","329,00"
7332623418300,Grå,"127,00","329,00"
7332623418317,Grön,"127,00","329,00"
7332623418324,Blå,"127,00","329,00"
7332623416894,Grön,"30,00","79,00"
7332623416900,Grön,"77,00","199,00"
7332623416924,Grön,"30,00","79,00"
7332623417778,Beige,"96,00","249,00"
7332623417785,Gul,"96,00","249,00"
7332623417792,Beige,"538,00","1 399,00"
7332623417808,Gul,"538,00","1 399,00"
7332623417815,Beige,"50,00","129,00"
7332623417822,Gul,"50,00","129,00"
7332623417839,Beige,"96,00","249,00"
7332623417846,Gul,"96,00","249,00"
7332623419475,Gul,"96,00","249,00"
7332623417853,Beige,"57,00","149,00"
7332623417860,Gul,"57,00","149,00"
7332623417891,Beige,"269,00","699,00"
7332623417907,Gul,"269,00","699,00"
7332623415750,Blå,"127,00","329,00"
7332623415767,Blå,"769,00","1 999,00"
7332623415774,Blå,"115,00","299,00"
7332623416528,Grön,"230,00","1 599,00"
7332623416535,Grön,"25,00","199,00"
7332623416511,Grön,"120,00","799,00"
7332623416696,Brun,"50,00","279,00"
7332623416702,Grön,"50,00","279,00"
7332623416719,Lila,"50,00","279,00"
7332623416597,,"153,00","399,00"
7332623415705,Gul,"103,00","269,00"
7332623415736,Gul,"107,00","279,00"
7332623415712,Gul,"769,00","1 999,00"
7332623415729,Gul,"134,00","349,00"
7332623416603,Multi,"115,00","299,00"
7332623416757,,"38,00","99,00"
7332623416788,,"77,00","199,00"
7332623416764,,"134,00","349,00"
7332623416771,,"107,00","279,00"
7332623417051,,"500,00","1 299,00"
7332623416610,Multi,"115,00","299,00"
7332623417242,Beige,"230,00","599,00"
7332623417273,Blå,"88,00","229,00"
7332623417235,Beige,"88,00","229,00"
7332623417259,Rosa,"88,00","229,00"
7332623417099,Grön,"30,00","199,00"
7332623417082,Grön,"25,00","149,00"
7332623416658,Offwhite,"134,00","349,00"
7332623416634,Brun,"134,00","349,00"
7332623416641,Rosa,"134,00","349,00"
7332623416665,Grön,"134,00","349,00"
7332623416627,Brun,"75,00","349,00"
7332623416726,Brun,"40,00","279,00"
7332623416733,Grön,"40,00","279,00"
7332623416740,Lila,"40,00","279,00"
7332623416986,Beige,"103,00","269,00"
7332623417006,Beige,"134,00","349,00"
7332623417631,Blå,"85,00","499,00"
7332623418034,Beige,"577,00","1 499,00"
7332623416849,Brun,"653,00","1 699,00"
7332623416856,Brun,"96,00","249,00"
7332623416825,Grön,"96,00","249,00"
7332623416801,Blå,"96,00","249,00"
7332623416863,Brun,"230,00","599,00"
7332623416832,Grön,"230,00","599,00"
7332623416818,Blå,"230,00","599,00"
7332623417174,Blå,"70,00","379,00"
7332623417181,Brun,"70,00","379,00"
7332623417068,Blå,"85,00","279,00"
7332623417075,Brun,"85,00","279,00"
7332623417198,Gul,"115,00","479,00"
7332623417204,Gul,"173,00","449,00"
7332623417297,Röd,"96,00","249,00"
7332623417310,Grå,"96,00","249,00"
7332623417303,Beige,"96,00","249,00"
7332623417600,Rosa,"25,00","129,00"
7332623417617,Rosa,"25,00","129,00"
7332623417624,Rosa,"25,00","129,00"
7332623418188,,"100,00","259,00"
7332623418614,Vit,"115,00","299,00"
7332623418591,Beige,"115,00","299,00"
7332623418607,Vit,"346,00","899,00"
7332623418584,Beige,"346,00","899,00"
7332623418782,Multi,"79,00","0,00"
7332623418621,Beige,"269,00","699,00"
7332623418645,Beige,"884,00","2 299,00"
7332623418638,Beige,"961,00","2 499,00"
7332623418799,Multi,"79,00","0,00"
7332623418805,Multi,"79,00","0,00"
7332623418737,Beige,"153,00","399,00"
7332623418744,Beige,"153,00","399,00"
7332623418751,Beige,"153,00","399,00"
7332623418768,Beige,"153,00","399,00"
7332623418775,Grå,"153,00","399,00"
7332623415606,Beige,"107,00","279,00"
7332623415613,Beige,"134,00","349,00"
7332623415620,Beige,"692,00","1 799,00"
7332623415637,Beige,"115,00","299,00"
7332623415651,Beige,"346,00","899,00"
7332623415644,Beige,"146,00","379,00"
7332623419093,Röd,"134,00","349,00"
7332623419253,Grön,"184,00","479,00"
