EAN,Color,PurchasePriceExclVAT,RecommendedPriceInclVAT,BrandName,Sell Price,Color,Offer ID
5712195082611,Not Sure,"246,12","649,95",No Product Found,,Not Sure,No Offer ID
5712195082574,Not Sure,"246,12","649,95",No Product Found,,Not Sure,No Offer ID
5712195083557,Not Sure,"92,28","249,95",No Product Found,,Not Sure,No Offer ID
5712195083519,Not Sure,"92,28","249,95",No Product Found,,Not Sure,No Offer ID
5712195080044,Not Sure,"215,35","559,95",No Product Found,,Not Sure,No Offer ID
5712195080006,Not Sure,"166,12","449,95",No Product Found,,Not Sure,No Offer ID
5712195079604,Not Sure,"430,74","1099,95",No Product Found,,Not Sure,No Offer ID
5712195079581,Not Sure,"215,35","559,95",No Product Found,,Not Sure,No Offer ID
5712195079208,Not Sure,"110,74","299,95",No Product Found,,Not Sure,No Offer ID
5712195079161,Not Sure,"110,74","299,95",No Product Found,,Not Sure,No Offer ID
5712195079123,Not Sure,"86,12","249,95",No Product Found,,Not Sure,No Offer ID
5712195083977,Not Sure,"276,89","749,95",No Product Found,,Not Sure,No Offer ID
5712195083397,Not Sure,"184,58","479,95",No Product Found,,Not Sure,No Offer ID
5712195083373,Not Sure,"184,58","479,95",No Product Found,,Not Sure,No Offer ID
5712195083298,Not Sure,"172,28","459,95",No Product Found,,Not Sure,No Offer ID
5712195083250,Not Sure,"172,28","459,95",No Product Found,,Not Sure,No Offer ID
5712195080532,Optic Blue,"295,00","897,00",Coolshop,551,Optic Blue,2804c149cbfc35e49e4562f18579c3aa
5712195080532,Optic Blue,"295,00","897,00",Kitchentime,561,Optic Blue,7c36b11a691eac96950b28c8ae8278aa
5712195080532,Optic Blue,"295,00","897,00",Nordic Nest,632,Optic Blue,975c3084c7b34de2ddc6bb4d099a5c81
5712195080532,Optic Blue,"295,00","897,00",Lampemesteren,685,Optic Blue,5c8ec97bf161ab5c605abc0fee0ed695
5712195080495,Not Sure,"79,97","229,95",No Product Found,,Not Sure,No Offer ID
5712195080457,Not Sure,"79,97","229,95",No Product Found,,Not Sure,No Offer ID
5712195080419,Not Sure,"79,97","229,95",No Product Found,,Not Sure,No Offer ID
5712195080372,Not Sure,"79,97","229,95",No Product Found,,Not Sure,No Offer ID
5712195080334,Not Sure,"79,97","229,95",No Product Found,,Not Sure,No Offer ID
