EAN,Brand Color,PurchasePriceExclVAT,RecommendedPriceInclVAT
5710555 00745 8,Ivory,75.3,188.0
5710555 00746 5,Ivory,91.2,228.0
5710555 00747 2,Ivory,64.0,160.0
5710555 00748 9,Ivory,86.0,214.8
5710555 00755 7,cognac,14.5,36.3
5710555 00756 4,cognac,23.1,57.8
5710555 00757 1,cognac,34.0,84.8
5710555 00758 8,cognac,64.0,160.0
5710555 00759 5,cognac,86.0,214.8
5710555 007601,cognac,156.5,390.0
5710555 007618,dark brown/cognac,14.5,36.3
5710555 007625,dark brown/cognac,23.1,57.8
5710555 007632,dark brown/cognac,34.0,84.8
5710555 007649,dark brown/cognac,64.0,160.0
5710555 007656,dark brown/cognac,86.0,214.8
5710555 00619 2,black/grey,14.5,36.3
5710555 00620 8,black/grey,23.1,57.8
5710555 00621 5,black/grey,34.0,84.8
5710555 00673 4,black/grey,64.0,160.0
5710555 00622 2,black/grey,44.8,112.0
5710555 00623 9,black/grey,75.3,188.0
5710555 00736 6,black/grey,86.0,214.8
5710555 00624 6,black/grey,91.2,228.0
5710555 00625 3,bordeaux,14.5,36.3
5710555 00630 7,bordeaux,91.2,228.0
5710555 00636 9,sand/beige,13.5,36.3
5710555 00637 6,sand/beige,23.1,57.8
5710555 00638 3,sand/beige,34.0,84.8
5710555 00674 1,sand/beige,64.0,160.0
5710555 00639 0,sand/beige,44.8,112.0
5710555 00640 6,sand/beige,75.3,188.0
5710555 00738 0,sand/beige,86.0,214.8
5710555 00642 0,dark grey,14.5,36.3
5710555 00643 7,dark grey,23.1,57.8
5710555 00644 4,dark grey,34.0,84.8
5710555 00645 1,dark grey,44.8,112.0
5710555 00646 8,dark grey,75.3,188.0
5710555 00647 5,dark grey,91.2,228.0
5710555 00687 1,dark green,14.5,36.3
5710555 00688 8,dark green,23.1,57.8
5710555 00689 5,dark green,34.0,84.8
5710555 00690 1,dark green,54.2,135.0
5710555 00692 5,dark green,75.3,188.0
5710555 00705 2,sand/black,14.5,36.3
5710555 00696 3,sand/black,23.1,57.8
5710555 00697 0,sand/black,34.0,84.8
5710555 00698 7,sand/black,64.0,160.0
5710555 00699 4,sand/black,75.3,188.0
5710555 00737 3,sand/black,86.0,214.8
5710555 10049 4,sand/brown,14.5,36.3
5710555 10037 1,sand/brown,23.1,57.8
5710555 10001 2,sand/brown,34.0,84.8
5710555 10002 9,sand/brown,64.0,160.0
5710555 10003 6,sand/brown,86.0,214.8
5710555 10050 0,steelgrey/light grey,14.5,36.3
5710555 10038 8,steelgrey/light grey,23.1,57.8
5710555 10004 3,steelgrey/light grey,34.0,84.8
5710555 10005 0,steelgrey/light grey,64.0,160.0
5710555 10006 7,steelgrey/light grey,86.0,214.8
5710555 10051 7,dijon/brown/sand,14.5,36.3
5710555 10039 5,dijon/brown/sand,23.1,57.8
5710555 10007 4,dijon/brown/sand,34.0,84.8
5710555 10008 1,dijon/brown/sand,64.0,160.0
5710555 10009 8,dijon/brown/sand,86.0,214.8
5710555 10052 4,light grey/steelgrey/dijon,14.5,36.3
5710555 10040 1,light grey/steelgrey/dijon,23.1,57.8
5710555 10010 4,light grey/steelgrey/dijon,34.0,84.8
5710555 10011 1,light grey/steelgrey/dijon,64.0,160.0
5710555 10012 8,light grey/steelgrey/dijon,86.0,214.8
5710555 10053 1,sand/brown/terracota,14.5,36.3
5710555 10041 8,sand/brown/terracota,23.1,57.8
5710555 10013 5,sand/brown/terracota,34.0,84.8
5710555 10014 2,sand/brown/terracota,64.0,160.0
5710555 10015 9,sand/brown/terracota,86.0,214.8
5710555 10054 8,sand/rose,14.5,36.3
5710555 10042 5,sand/rose,23.1,57.8
