Product Name,Brand Name,Breadcrumbs,Price,Recommended Price,Short Description,Description,Color,Picture,Properties,Brand Information,MetaTitle,MetaDescription,Website
"OY Matstol, Dark Nature",OYOY,Stolar & Pallar,3900kr,,"OY matstol från OYOY med en tidlös, enkel design i ask som harmoniskt smälter in i hemmet med fina, rundade former.","<div>Matstolen från OYOY har en tidlös, enkel design i ask som harmoniskt smälter in i hemmet med fina, rundade former.  Perfekt i vilket rum som helst. Välj mellan två olika färger.<br/><br/> <h2>Om matstolen från OYOY</h2><br/>- Välj mellan två olika färger.<br/>- Bredd: 446 mm.<br/>- Höjd: 840 mm.<br/>- Längd: 465 mm.<br/><br/><br/></div>",Dark Nature,https://media.royaldesign.se/1/oyoy-oy-dining-chair-7?w=800&quality=80,"Produktinformation_Artikelnummer_337398,Produktinformation_Lev. artikelnummer_L300947,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_ExtraLarge,Produktinformation_Färg_Dark Nature,Produktinformation_Material_Ask, Askfanér,Produktinformation_Bredd_44.6 cm,Produktinformation_Höjd_84 cm,Produktinformation_Längd_46.5 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"OY Matstol, Dark Nature från OYOY | RoyalDesign.se","OY matstol från OYOY med en tidlös, enkel design i ask som harmoniskt smälter in i hemmet med fina, rundade former. ✓ Trygg leverans ✓ Flexibel betalning",NordicDetails.se
Theo Dino Matta Ø120 cm,OYOY,Barntextilier,2300kr,,"Matta från OYOY med en dekorativ design med en mjuk, härlig känsla med två lekfulla motiv att välja mellan perfekt för barnrummet.","<div>Mattan från OYOY har en dekorativ design med en mjuk, härlig känsla med två lekfulla motiv att välja mellan perfekt för barnrummet. <br/><br/> <h2>Om mattan från OYOY</h2><br/>- Uppskattas för den lekfulla designen.<br/>- Ø120 cm<br/><br/><br/></div>",,https://media.royaldesign.se/1/oyoy-theo-dino-rug-0?w=800&quality=80,"Produktinformation_Artikelnummer_337371,Produktinformation_Lev. artikelnummer_M107346,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Medium,Produktinformation_Färg_Saffran,Produktinformation_Material_Ull, Bomull,Produktinformation_Diameter_120 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,Theo Dino Matta Ø120 cm från OYOY | RoyalDesign.se,"Matta från OYOY med en dekorativ design med en mjuk, härlig känsla med två lekfulla motiv att välja mellan perfekt för barnrummet. ✓ Trygg leverans",NordicDetails.se
"Grid Hylla, Natur",OYOY,Förvaring & Hyllor,3310kr,4300kr,"Grid hylla från OYOY med en elegant, praktisk design i ek med tolv fack perfekt för snygg förvaring.","<div>Hyllan från OYOY har en elegant, praktisk design i ek med tolv fack perfekt för snygg förvaring.  Kan hängas både vertikalt och horisontellt. Perfekt för vardagsrummet, hallen eller sovrummet.<br/><br/> <h2>Om hyllan från OYOY</h2><br/>- Bredd: 150 mm.<br/>- Höjd: 1300 mm.<br/>- Längd: 580 mm.<br/><br/><br/></div>",,https://media.royaldesign.se/1/oyoy-grid-shelf-large-0?w=800&quality=80,"Produktinformation_Artikelnummer_337331,Produktinformation_Lev. artikelnummer_L300931,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Medium,Produktinformation_Färg_Natur,Produktinformation_Material_Ek,Produktinformation_Bredd_15 cm,Produktinformation_Höjd_130 cm,Produktinformation_Längd_58 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Grid Hylla, Natur från OYOY | RoyalDesign.se","Grid hylla från OYOY med en elegant, praktisk design i ek med tolv fack perfekt för snygg förvaring. ✓ Trygg leverans ✓ Flexibel betalning",NordicDetails.se
"Kotai Bänk Ek, Cherry Red",OYOY,Stolar & Pallar,4300kr,,"Kotai Bench bänk från OYOY i ek med en minimalistisk design med rena, enkla linjer.","<div>Bänk från OYOY i ek med en minimalistisk design med rena, enkla linjer perfekt för det moderna hemmet.<br/><br/><h2>Om bänken från OYOY</h2><br>- Den här bänken är en del av OYOYs kollektion Kotai.<br>- Höjd: 430 mm.<br/>- Längd: 1100 mm.<br/>- Bredd: 350 mm.<br/><br/><h2>Skötselråd för bänken</h2><br>- Regelbunden oljning rekommenderas.</br></br></br></div>",Cherry Red,https://media.royaldesign.se/1/oyoy-kotai-bench-0?w=800&quality=80,"Produktinformation_Artikelnummer_328113,Produktinformation_Lev. artikelnummer_L300257,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Large,Produktinformation_Färg_Cherry Red,Produktinformation_Material_Ek,Produktinformation_Tillverkad i_Litauen,Produktinformation_Bredd_35 cm,Produktinformation_Höjd_43 cm,Produktinformation_Längd_110 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Kotai Bänk Ek, Cherry Red från OYOY | RoyalDesign.se","Kotai Bench bänk från OYOY i ek med en minimalistisk design med rena, enkla linjer. ✓ Trygg leverans ✓ Flexibel betalning ✓ Design till rätt pris",NordicDetails.se
"Oy Soffbord Ek, Liten",OYOY,Bord,5000kr,,"Oy soffbord från OYOY i solid, vitpigmenterad ek med en minimalistisk, tidlös design som harmoniskt smälter in i hemmet.","<div>Soffbord från OYOY i solid, vitpigmenterad ek med en minimalistisk, tidlös design som harmoniskt smälter in i hemmet.<br/><br/><h2>Om soffbordet från OYOY</h2><br>- finns i 2 olika storlekar.<br>- Tillverkat i Europa.<br/><br/><h2>Skötselråd för soffbordet</h2><br>- Regelbunden oljning rekommenderas.</br></br></br></div>",,https://media.royaldesign.se/1/oyoy-oy-coffee-table-1?w=800&quality=80,"Produktinformation_Artikelnummer_328111,Produktinformation_Lev. artikelnummer_L10180,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Medium,Produktinformation_Finish_Oljad,Produktinformation_Färg_Naturlig Ek,Produktinformation_Material_Ek,Produktinformation_Skötselråd_Olja in regelbundet,Produktinformation_Storlek_Ø65,Produktinformation_Tillverkad i_Litauen,Produktinformation_Diameter_65 cm,Produktinformation_Höjd_36 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Oy Soffbord Ek, Liten från OYOY | RoyalDesign.se","Oy soffbord från OYOY i solid, vitpigmenterad ek med en minimalistisk, tidlös design som harmoniskt smälter in i hemmet. ✓ Trygg leverans ✓ Flexibel betalning",NordicDetails.se
Dina & Bobo Dinosaur Gosedjur,OYOY,Barnrumsinredning,450kr,900kr,Dina & Bobo Dinosaur gosedjur från OYOY med en gullig design i bomull med en mjuk fyllning i återvunnen polyester perfekt för barnrummet och för mysstunden.,<div>Gosedjuret från OYOY har en gullig design i bomull med en mjuk fyllning i återvunnen polyester perfekt för barnrummet och för mysstunden.  Välj mellan olika figurer.<br/><br/> <h2>Om gosedjuret från OYOY</h2><br/>- Söt design.<br/>- Mjuk stoppning.<br/>- Passar för 0+ år.<br/>- Gosedjuret passar bra i barnrummet.<br/><br/><br/></div>,,https://media.royaldesign.se/1/oyoy-dina-bobo-dinosaur-0?w=800&quality=80,"Produktinformation_Artikelnummer_337358,Produktinformation_Lev. artikelnummer_M107343,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Färg_Beige,Produktinformation_Material_Bomull, Polyester,Produktinformation_Bredd_19 cm,Produktinformation_Höjd_30 cm,Produktinformation_Längd_44 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,Dina & Bobo Dinosaur Gosedjur från OYOY | RoyalDesign.se,Dina & Bobo Dinosaur gosedjur från OYOY med en gullig design i bomull med en mjuk fyllning i återvunnen polyester perfekt för barnrummet och för mysstunden.,NordicDetails.se
"Kojo Hurricane Ljuslykta, Gul",OYOY,Ljusstakar & Ljuslyktor,132kr,330kr,"Kojo Hurricane ljuslykta från OYOY med en elegant, organisk form i munblåst glas med vackra skiftningar perfekt för att skapa en mysig stämning i vilket rum som helst.","<div>Ljuslyktan från OYOY har en elegant, organisk form i munblåst glas med vackra skiftningar perfekt för att skapa en mysig stämning i vilket rum som helst.  . Det omsorgsfulla hantverket gör varje produkt unik och innebär att små variationer kan förekomma. Mixa och matcha med andra delar ur serien för att skapa en vacker kombination.<br/><br/> <h2>Om ljuslyktan från OYOY</h2><br/>- Elegant design.<br/>- Tillverkad av munblåst glas.<br/>- Ljuslyktan finns i  olika färger.<br/>- Från serien Kojo.<br/><br/> <h2>Skötselråd för ljuslyktan</h2><br/>- Endast handdisk.<br/><br/><br/><br/></div>",Gul,https://media.royaldesign.se/1/oyoy-kojo-hurricane-9?w=800&quality=80,"Produktinformation_Artikelnummer_337382,Produktinformation_Lev. artikelnummer_L300921,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Färg_Gul,Produktinformation_Material_Glas,Produktinformation_Diameter_11 cm,Produktinformation_Höjd_9 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Kojo Hurricane Ljuslykta, Gul från OYOY | RoyalDesign.se",Köp Kojo Hurricane Ljuslykta från OYOY - alltid till rätt pris! ✓ Trygg leverans ✓ Flexibel betalning ✓ Design till rätt pris,NordicDetails.se
Yummy Termosflaska Banana,OYOY,Glas,231kr,330kr,"Yummy termosflaska från OYOY med en praktisk design i aluminium perfekt för barn, för picknicken och för utomhusaktiviteter.","<div>Termosflaskan från OYOY har en praktisk design i aluminium perfekt för barn, för picknicken och för utomhusaktiviteter.  Kombinera med andra delar i serien och skapa din personliga stil.<br/><br/> <h2>Om termosflaskan från OYOY</h2><br/>- Tillverkad av aluminium.<br/>- Från serien Yummy.<br/>- Kapacitet: 36 cl.<br/>- Höjd: 187 mm.<br/>- Diameter: 73 mm.<br/>- Hot: up to  6 hours, Cold: for up to 12 hours.<br/><br/><br/></div>",Yummy Termosflaska Banana,https://media.royaldesign.se/1/oyoy-yummy-bottle-4?w=800&quality=80,"Produktinformation_Artikelnummer_337335,Produktinformation_Lev. artikelnummer_M107387,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Färg_Beige,Produktinformation_Material_Aluminium,Produktinformation_Diameter_7.3 cm,Produktinformation_Höjd_18.7 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,Yummy Termosflaska Banana från OYOY | RoyalDesign.se,"Yummy termosflaska från OYOY med en praktisk design i aluminium perfekt för barn, för picknicken och för utomhusaktiviteter. ✓ Trygg leverans",NordicDetails.se
"Saga Vase Vas, Brun",OYOY,Dekoration,180kr,600kr,"Saga Vase vas från OYOY med en dekorativ, rundad form i stengods perfekt för växter och blommor.","<div>Vasen från OYOY har en dekorativ, rundad form i stengods perfekt för växter och blommor. <br/><br/> <h2>Om vasen från OYOY</h2><br/>- Tillverkad av stengods.<br/>- Variationer i utseendet kan förekomma.<br/>- Kombinera vasen med en saga kruka från OYOY.<br/>- Höjd: 205 mm.<br/>- Diameter: 135 mm.<br/><br/><br/></div>",,https://media.royaldesign.se/1/oyoy-saga-vase-0?w=800&quality=80,"Produktinformation_Artikelnummer_337290,Produktinformation_Lev. artikelnummer_L300588,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Färg_Brun,Produktinformation_Material_Stengods,Produktinformation_Diameter_13.5 cm,Produktinformation_Höjd_20.5 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Saga Vase Vas, Brun från OYOY | RoyalDesign.se","Saga Vase vas från OYOY med en dekorativ, rundad form i stengods perfekt för växter och blommor. ✓ Trygg leverans ✓ Flexibel betalning ✓ Design till rätt pris",NordicDetails.se
The World Matta Ø135cm,OYOY,Mattor,540kr,900kr,The World Matta Ø135cm från OYOY är en stilren och tidlös matta med världskarta i lugna färger. Tillverkad i högkvalitativt material för att passa perfekt i ditt hem.,<div>För varje The World matta som säljs så skänker OYOY en summa till WWF för att hjälpa till att rädda de utrotningshotade isbjörnarna.</div>,,https://media.royaldesign.se/1/oyoy-the-world-matta-135cm-0?w=800&quality=80,"Produktinformation_Artikelnummer_204687,Produktinformation_Lev. artikelnummer_1100502,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Medium,Produktinformation_Färg_Grå, Beige,Produktinformation_Material_Bomull,Produktinformation_Storlek_Ø135,Produktinformation_Bredd_135 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,The World Matta Ø135cm från OYOY | RoyalDesign.se,The World Matta Ø135cm från OYOY är en stilren och tidlös matta med världskarta i lugna färger. ✓ Trygg leverans ✓ Flexibel betalning ✓ Design till rätt pris,NordicDetails.se
"Tippetop Ljusstake No 2, Svart",OYOY,Ljusstakar & Ljuslyktor,176kr,586kr,Tippetop Ljusstake No 2 från OYOY är en elegant ljusstake i svart finish. Skapar en stilfull atmosfär i ditt hem. Perfekt för ljusstakar i olika storlekar.,"<div><p>Tippetop Ljusstake No 2 från OYOY är en elegant ljusstake i svart färg som passar perfekt för att skapa en stämningsfull atmosfär i ditt hem. Den är designad för att ge en modern touch till ditt rum och skapad med omsorg om detaljer
<br/>
<h2>Om Tippetop Ljusstake No 2:</h2>
<ul>
<li>Tillverkad av högkvalitativt material för hållbarhet.</li>
<li>Enkel och stilren design som passar alla inredningsstilar.</li>
<li>Den svarta färgen ger en sofistikerad känsla till ljusstaken.</li>
<li>Passar både för vardagsbruk och speciella tillfällen.</li>
</ul>
<br/>
<p>Tippetop Ljusstake No 2 är perfekt för de som uppskattar enkelhet och elegans i sitt hem. Dess svarta färg och stilrena design gör den till ett utmärkt val för att skapa en mysig atmosfär i rummet
<br/>
<h2>Om OYOY:</h2>
<p>OYOY är ett varumärke känt för sin innovativa design och fokus på kvalitet. Med en passion för skandinavisk estetik strävar OYOY efter att skapa produkter som förenar funktion med stil och skapar en varm och inbjudande atmosfär i hemmet</p></p></p></div>",,https://media.royaldesign.se/1/oyoy-tippetop-ljusstake-no-2-svart-0?w=800&quality=80,"Produktinformation_Artikelnummer_184997,Produktinformation_Lev. artikelnummer_1100167,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Färg_Svart,Produktinformation_Material_Bok,Produktinformation_Diameter_11 cm,Produktinformation_Höjd_9.2 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Tippetop Ljusstake No 2, Svart från OYOY | RoyalDesign.se",Tippetop Ljusstake No 2 från OYOY är en elegant ljusstake i svart finish. ✓ Trygg leverans ✓ Flexibel betalning ✓ Design till rätt pris,NordicDetails.se
"Lina Matta 62x220 cm, Off-white",OYOY,Utomhustextilier,896kr,1280kr,"Lina matta från OYOY i återvunnen polyester för både inomhus och utomhusbruk med ett enkelt, elegant uttryck med fransar på kortsidorna.","<div>Mattan från OYOY är tillverkad av återvunnen polyester för både inomhus och utomhusbruk med ett enkelt, elegant uttryck med fransar på kortsidorna. <br/><br/> <h2>Om mattan från OYOY</h2><br/>- Finns i flera färger.<br/>- Bredd: 620 mm.<br/>- Längd: 2200 mm.<br/><br/><br/></div>",Off-White,https://media.royaldesign.se/1/oyoy-lina-recycled-runner-offwhite-1?w=800&quality=80,"Produktinformation_Artikelnummer_328084,Produktinformation_Lev. artikelnummer_L300474,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Medium,Produktinformation_Färg_Off-White,Produktinformation_Lämplig för utomhusbruk_Ja,Produktinformation_Material_Polyester,Produktinformation_Storlek_62x220,Produktinformation_Tillverkad i_Indien,Produktinformation_Bredd_62 cm,Produktinformation_Längd_220 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Lina Matta 62x220 cm, Off-white från OYOY | RoyalDesign.se","Lina matta från OYOY i återvunnen polyester för både inomhus och utomhusbruk med ett enkelt, elegant uttryck med fransar på kortsidorna. ✓ Trygg leverans",NordicDetails.se
"Lina Matta 62x220 cm, Caramel",OYOY,Utomhustextilier,768kr,1280kr,"Lina matta från OYOY i återvunnen polyester för både inomhus och utomhusbruk med ett enkelt, elegant uttryck med fransar på kortsidorna.","<div>Mattan från OYOY är tillverkad av återvunnen polyester för både inomhus och utomhusbruk med ett enkelt, elegant uttryck med fransar på kortsidorna. <br/><br/> <h2>Om mattan från OYOY</h2><br/>- Finns i flera färger.<br/>- Bredd: 620 mm.<br/>- Längd: 2200 mm.<br/><br/><br/></div>",Karamell,https://media.royaldesign.se/1/oyoy-lina-recycled-runner-offwhite-2?w=800&quality=80,"Produktinformation_Artikelnummer_328085,Produktinformation_Lev. artikelnummer_L300475,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Medium,Produktinformation_Färg_Karamell,Produktinformation_Lämplig för utomhusbruk_Ja,Produktinformation_Material_Polyester,Produktinformation_Storlek_62x220,Produktinformation_Tillverkad i_Indien,Produktinformation_Bredd_62 cm,Produktinformation_Längd_220 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Lina Matta 62x220 cm, Caramel från OYOY | RoyalDesign.se","Lina matta från OYOY i återvunnen polyester för både inomhus och utomhusbruk med ett enkelt, elegant uttryck med fransar på kortsidorna. ✓ Trygg leverans",NordicDetails.se
"Ring Kruka Liten, Choko",OYOY,Trädgård,450kr,900kr,"Ring kruka från OYOY i terrakotta för utomhusbruk med en matt yta och en naturlig, organisk känsla.","<div>Krukan från OYOY är tillverkad av terrakotta för utomhusbruk med en matt yta och en naturlig, organisk känsla. <br/><br/> <h2>Om krukan från OYOY</h2><br/>- Dräneringshål i botten.<br/>- Finns i flera utföranden.<br/>- Krukfat ingår inte.<br/>- Frostsäker ner till -20 °C.<br/><br/><br/></div>",,https://media.royaldesign.se/1/oyoy-ring-planter-small-choko-1?w=800&quality=80,"Produktinformation_Artikelnummer_328027,Produktinformation_Lev. artikelnummer_L300556,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Dräneringshål_Ja,Produktinformation_Frostproof_-20 °C,Produktinformation_Färg_Choko,Produktinformation_Lämplig för utomhusbruk_Ja,Produktinformation_Material_Terrakotta,Produktinformation_Storlek_Small,Produktinformation_Tillverkad i_Indien,Produktinformation_Diameter_25 cm,Produktinformation_Höjd_29 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Ring Kruka Liten, Choko från OYOY | RoyalDesign.se","Ring kruka från OYOY i terrakotta för utomhusbruk med en matt yta och en naturlig, organisk känsla. ✓ Trygg leverans ✓ Flexibel betalning ✓ Design till rätt pris",NordicDetails.se
"Awa Kruka Terrakotta, Lång",OYOY,Trädgård,630kr,900kr,"Awa kruka från OYOY i frostsäker terrakotta för utomhusbruk med en matt yta och ett naturligt, organiskt uttryck.","<div>Krukan från OYOY är tillverkad av frostsäker terrakotta för utomhusbruk med en matt yta och ett naturligt, organiskt uttryck. <br/><br/> <h2>Om krukan från OYOY</h2><br/>- Dräneringshål i botten.<br/>- Finns i flera utföranden.<br/>- Krukfat ingår inte.<br/>- Frostsäker ner till -20 °C.<br/><br/><br/></div>",,https://media.royaldesign.se/1/oyoy-awa-pot-outdoor-long-terracotta-6?w=800&quality=80,"Produktinformation_Artikelnummer_328033,Produktinformation_Lev. artikelnummer_L300483,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Frostproof_-20 °C,Produktinformation_Färg_Terrakotta,Produktinformation_Lämplig för utomhusbruk_Ja,Produktinformation_Material_Terrakotta,Produktinformation_Storlek_Long,Produktinformation_Tillverkad i_Kina,Produktinformation_Bredd_18 cm,Produktinformation_Höjd_18 cm,Produktinformation_Längd_42 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Awa Kruka Terrakotta, Lång från OYOY | RoyalDesign.se","Awa kruka från OYOY i frostsäker terrakotta för utomhusbruk med en matt yta och ett naturligt, organiskt uttryck. ✓ Trygg leverans ✓ Flexibel betalning",NordicDetails.se
"Mizu Vattenkaraff Vit,",OYOY,Vatten Kaffe & Te,210kr,700kr,"Mizu vattenkaraff från OYOY med ett elegant, modernt uttryck med vita ränder för alla hem och stilar.","<div>Vattenkaraffen från OYOY har ett elegant, modernt uttryck med vita ränder för alla hem och stilar. Den är tillverkad av munblåst glas med en ergonomisk, lättanvänd form. <br/><br/> <h2>Om vattenkaraffen från OYOY</h2><br/>- Kombinera vattenkaraffen med Mizu dricksglas från OYOY.<br/>- Diameter: 100 mm.<br/>- Höjd: 230 mm.<br/><br/> <h2>Skötselråd för vattenkaraffen</h2><br/>- Tål diskmaskin.<br/><br/><br/><br/></div>",,https://media.royaldesign.se/1/oyoy-mizu-water-carafe-clear-0?w=800&quality=80,"Produktinformation_Artikelnummer_328062,Produktinformation_Lev. artikelnummer_L300551,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Färg_Vit, Klar,Produktinformation_Material_Glas,Produktinformation_Tillverkad i_Kina,Produktinformation_Tål maskindisk_Ja,Produktinformation_Diameter_10 cm,Produktinformation_Höjd_23 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Mizu Vattenkaraff Vit, från OYOY | RoyalDesign.se","Mizu vattenkaraff från OYOY med ett elegant, modernt uttryck med vita ränder för alla hem och stilar. ✓ Trygg leverans ✓ Flexibel betalning",NordicDetails.se
"Inka Vas Liten, Off-white",OYOY,Dekoration,375kr,750kr,"Inka vas från OYOY i handblåst glas med en elegant, enkel design med en dekorativ, lekfull boll på sidan.","<div>Vas från OYOY i handblåst glas med en elegant, enkel design med en dekorativ, lekfull boll på sidan.<br/><br/><h2>Om vasen från OYOY</h2><br>- Vasen finns i flera utföranden.</br></div>",,https://media.royaldesign.se/1/oyoy-inka-vase-large-offwhite-2?w=800&quality=80,"Produktinformation_Artikelnummer_328078,Produktinformation_Lev. artikelnummer_L300428,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Färg_Off-White,Produktinformation_Material_Glas,Produktinformation_Storlek_Small,Produktinformation_Tillverkad i_Kina,Produktinformation_Vattentät_Ja,Produktinformation_Diameter_12.5 cm,Produktinformation_Höjd_20 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Inka Vas Liten, Off-white från OYOY | RoyalDesign.se","Inka vas från OYOY i handblåst glas med en elegant, enkel design med en dekorativ, lekfull boll på sidan. ✓ Trygg leverans ✓ Flexibel betalning",NordicDetails.se
"Savi Ljusstake Mässing, Polerad",OYOY,Ljusstakar & Ljuslyktor,260kr,650kr,"Savi ljusstake från OYOY i solid mässing med en elegant, stilren form som aldrig går ur tiden.","<div>Ljusstaken från OYOY är tillverkad av solid mässing med en elegant, stilren form som aldrig går ur tiden. <br/><br/> <h2>Om ljusstaken från OYOY</h2><br/>- Finns i flera utföranden.<br/>- Höjd: 30 mm.<br/>- Diameter: 46 mm.<br/><br/><br/></div>",,https://media.royaldesign.se/1/oyoy-savi-solid-brass-candleholder-brass-1?w=800&quality=80,"Produktinformation_Artikelnummer_328080,Produktinformation_Lev. artikelnummer_L300426,Produktinformation_Varumärke_OYOY,Produktinformation_Fraktklass_Small,Produktinformation_Finish_Mässingsfinish,Produktinformation_Färg_Mässing,Produktinformation_Material_Mässing,Produktinformation_Tillverkad i_Indien,Produktinformation_Diameter_4.6 cm,Produktinformation_Höjd_3 cm",Idén till namnet på varumärket OYOY kommer från att det alltid skrivit OY på varje danskt flygplan sedan 1929. Då varumärket är danskt tyckte grundarna att detta var ett rolig namn och anamma. Sagt och gjort formger idag OYOY inredningsdetaljer i klassisk skandinavisk stil.,"Savi Ljusstake Mässing, Polerad från OYOY | RoyalDesign.se","Savi ljusstake från OYOY i solid mässing med en elegant, stilren form som aldrig går ur tiden. ✓ Trygg leverans ✓ Flexibel betalning ✓ Design till rätt pris",NordicDetails.se
