Transformed_Properties
"Produktinformation_Color Name_Light Grey, Produktinformation_Composition in %_100% Cotton, 100% Recycled Polyester Filling, Produktinformation_Brand_OYOY MINI, Produktinformation_Height in cm (PRODUCT)_34,5, Produktinformation_Length in cm  (PRODUCT)_18,5, Produktinformation_Width/Dia in cm  (PRODUCT)_4, Produktinformation_Weight in gram without packing  (PRODUCT)_100, Produktinformation_Country of Origin_India, Produktinformation_Made of recycled material (Y/N)_Y, Produktinformation_Age Recommendation_0+, Produktinformation_Fragile (Y/N)_N"
"Produktinformation_Color Name_Offwhite, Produktinformation_Composition in %_100% Oeko-Tex Cotton, Produktinformation_Brand_OYOY LIVING, Produktinformation_Height in cm (PRODUCT)_0,1, Produktinformation_Length in cm  (PRODUCT)_140, Produktinformation_Width/Dia in cm  (PRODUCT)_250, Produktinformation_Weight in gram without packing  (PRODUCT)_200, Produktinformation_Country of Origin_India, Produktinformation_Oeko-tex (Y/N)_Y, Produktinformation_Fragile (Y/N)_N"
"Produktinformation_Color Name_Offwhite, Produktinformation_Composition in %_100% Oeko-Tex Cotton, Produktinformation_Brand_OYOY LIVING, Produktinformation_Height in cm (PRODUCT)_0,1, Produktinformation_Length in cm  (PRODUCT)_45, Produktinformation_Width/Dia in cm  (PRODUCT)_45, Produktinformation_Weight in gram without packing  (PRODUCT)_200, Produktinformation_Country of Origin_India, Produktinformation_Oeko-tex (Y/N)_Y, Produktinformation_Fragile (Y/N)_N"
"Produktinformation_Color Name_Offwhite, Produktinformation_Composition in %_100% Craft Paper, Produktinformation_Brand_OYOY LIVING, Produktinformation_Height in cm (PRODUCT)_15, Produktinformation_Length in cm  (PRODUCT)_90, Produktinformation_Width/Dia in cm  (PRODUCT)_90, Produktinformation_Weight in gram without packing  (PRODUCT)_118, Produktinformation_Country of Origin_India, Produktinformation_FSC (Y/N)_Y"
"Produktinformation_Color Name_Offwhite, Produktinformation_Composition in %_100% Craft Paper, Produktinformation_Brand_OYOY LIVING, Produktinformation_Height in cm (PRODUCT)_3, Produktinformation_Length in cm  (PRODUCT)_14, Produktinformation_Width/Dia in cm  (PRODUCT)_14, Produktinformation_Weight in gram without packing  (PRODUCT)_7, Produktinformation_Country of Origin_India, Produktinformation_FSC (Y/N)_Y"
"Produktinformation_Color Name_Offwhite, Produktinformation_Composition in %_100% Craft Paper, Produktinformation_Brand_OYOY LIVING, Produktinformation_Height in cm (PRODUCT)_3, Produktinformation_Length in cm  (PRODUCT)_18, Produktinformation_Width/Dia in cm  (PRODUCT)_18, Produktinformation_Weight in gram without packing  (PRODUCT)_14, Produktinformation_Country of Origin_India, Produktinformation_FSC (Y/N)_Y"
"Produktinformation_Color Name_Offwhite, Produktinformation_Composition in %_100% Craft Paper, Produktinformation_Brand_OYOY LIVING, Produktinformation_Height in cm (PRODUCT)_5,5, Produktinformation_Length in cm  (PRODUCT)_30, Produktinformation_Width/Dia in cm  (PRODUCT)_30, Produktinformation_Weight in gram without packing  (PRODUCT)_40, Produktinformation_Country of Origin_India, Produktinformation_FSC (Y/N)_Y"
"Produktinformation_Color Name_Offwhite, Produktinformation_Composition in %_100% Craft Paper, Produktinformation_Brand_OYOY LIVING, Produktinformation_Height in cm (PRODUCT)_4,5, Produktinformation_Length in cm  (PRODUCT)_16, Produktinformation_Width/Dia in cm  (PRODUCT)_16, Produktinformation_Weight in gram without packing  (PRODUCT)_19, Produktinformation_Country of Origin_India, Produktinformation_FSC (Y/N)_Y"
"Produktinformation_Color Name_White, Produktinformation_Composition in %_100% Paper, Produktinformation_Brand_OYOY LIVING, Produktinformation_Height in cm (PRODUCT)_0,1, Produktinformation_Length in cm  (PRODUCT)_9, Produktinformation_Width/Dia in cm  (PRODUCT)_9,5, Produktinformation_Weight in gram without packing  (PRODUCT)_7, Produktinformation_Country of Origin_India"
"Produktinformation_Color Name_Cherry Red / Offwhite / Blue, Produktinformation_Composition in %_Cotton, Pearls and Filling, Produktinformation_Brand_OYOY LIVING, Produktinformation_Height in cm (PRODUCT)_2, Produktinformation_Length in cm  (PRODUCT)_9, Produktinformation_Width/Dia in cm  (PRODUCT)_7, Produktinformation_Weight in gram without packing  (PRODUCT)_18, Produktinformation_Country of Origin_India"
"Produktinformation_Color Name_Lavender / Amber / Offwhite, Produktinformation_Composition in %_Cotton, Pearls and Filling, Produktinformation_Brand_OYOY LIVING, Produktinformation_Height in cm (PRODUCT)_2, Produktinformation_Length in cm  (PRODUCT)_7, Produktinformation_Width/Dia in cm  (PRODUCT)_7, Produktinformation_Weight in gram without packing  (PRODUCT)_20, Produktinformation_Country of Origin_India"
"Produktinformation_Color Name_Clay / Red, Produktinformation_Composition in %_100% Organic Cotton, Produktinformation_Brand_OYOY MINI, Produktinformation_Height in cm (PRODUCT)_0,1, Produktinformation_Length in cm  (PRODUCT)_104, Produktinformation_Width/Dia in cm  (PRODUCT)_52, Produktinformation_Weight in gram without packing  (PRODUCT)_284, Produktinformation_Country of Origin_India"
"Produktinformation_Color Name_Offwhite, Produktinformation_Composition in %_100% Craft Paper, Produktinformation_Brand_OYOY LIVING, Produktinformation_Height in cm (PRODUCT)_15, Produktinformation_Length in cm  (PRODUCT)_60, Produktinformation_Width/Dia in cm  (PRODUCT)_60, Produktinformation_Weight in gram without packing  (PRODUCT)_75, Produktinformation_Country of Origin_India, Produktinformation_FSC (Y/N)_Y"
