Color Name,Composition in %,Brand,Height in cm (PRODUCT),Length in cm  (PRODUCT),Width/Dia in cm  (PRODUCT),Weight in gram without packing  (PRODUCT),Country of Origin,Oeko-tex (Y/N),GOTS (Y/N),Gsm/m2,Made of recycled material (Y/N),FSC (Y/N),Origin Of Material (Specially by Wood),How many ML can the item contain?,Sustainability in Terms of Material (Y/N),Multipack (Y/N),Age Recommendation,Fragile (Y/N),Outdoor Use (Y/N),Handmade (Y/N),Care instructions,Maximum Load in KG,Waterproof (Y/N),Frostsafe (Y/N),Suitable for dishwasher (Y/N),Suitable for oven (Y/N),Suitable for microwave (Y/N),Suitable for wetrooms (Y/N),Kelvin,Lumen,Lifetime (LED),Max watt,Length of cord,Rechargable,Dimmerable,LED,Shelf life unopend in months,Shelf life opend in months,Perfume (Y/N),Perfume in %,Type of perfume (Natural / Synthetic),Declarational perfumes,PH value,VOC in %,BSE Free,List the preservatives used in the product,Contains palm oil (Y/N),Palm oil in %,Contains RSPO Certified palm oil (Y/N),Cold sensitive (Y/N),Cold sensitive minimum °C,Heat sensitive (Y/N),Heat sensitive maximum °C,Burning time in hours
Clay,"100% Polyester, Fiberglass Poles",OYOY MINI,123,138,133,3200,China,,,,,,,,,,3+,,,,Wipe with a damp cloth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue / Clay,100% Organic cotton / 100% Microsoft Polyester Fiber,OYOY MINI,1,140,130,1042,India,Y,Y,,N,,,,Y,,0+,,,,30 Degrees Gentle wash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,100% Stoneware,OYOY LIVING,18,"16,5","16,5",1950,China,,,,N,,,,,,,Y,Y,Y,,,Y,N,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber,100% Stoneware,OYOY LIVING,18,"16,5","16,5",1950,China,,,,N,,,,,,,Y,Y,Y,,,Y,N,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
White,100% Stoneware,OYOY LIVING,24,"21,5","21,5",3900,China,,,,N,,,,,,,Y,Y,Y,,,Y,N,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber,100% Stoneware,OYOY LIVING,24,"21,5","21,5",3900,China,,,,N,,,,,,,Y,Y,Y,,,Y,N,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
White,100% Stoneware,OYOY LIVING,30,27,27,6300,China,,,,N,,,,,,,Y,Y,Y,,,Y,N,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber,100% Stoneware,OYOY LIVING,30,27,27,6300,China,,,,N,,,,,,,Y,Y,Y,,,Y,N,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
Light Brown Melange,"100% Cotton, 100% Recycled Polyester Filling",OYOY MINI,"32,5",18,5,95,India,,,,Y,,,,,,0+,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light Brown Melange,"100% Cotton, 100% Recycled Polyester Filling",OYOY MINI,"40,9",17,6,97,India,,,,Y,,,,,,0+,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light Grey,"100% Cotton, 100% Recycled Polyester Filling",OYOY MINI,"34,5","18,5",4,100,India,,,,Y,,,,,,0+,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Oeko-Tex Cotton,OYOY LIVING,"0,1",140,250,200,India,Y,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Oeko-Tex Cotton,OYOY LIVING,"0,1",45,45,200,India,Y,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Craft Paper,OYOY LIVING,15,90,90,118,India,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Craft Paper,OYOY LIVING,3,14,14,7,India,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Craft Paper,OYOY LIVING,3,18,18,14,India,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Craft Paper,OYOY LIVING,"5,5",30,30,40,India,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Craft Paper,OYOY LIVING,"4,5",16,16,19,India,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,100% Paper,OYOY LIVING,"0,1",9,"9,5",7,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Red / Offwhite / Blue,"Cotton, Pearls and Filling",OYOY LIVING,2,9,7,18,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavender / Amber / Offwhite,"Cotton, Pearls and Filling",OYOY LIVING,2,7,7,20,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay / Red,100% Organic Cotton,OYOY MINI,"0,1",104,52,284,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Craft Paper,OYOY LIVING,15,60,60,75,India,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite / Green,100% Paraffin,OYOY LIVING,25,5,5,450,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite / Blue,100% Paraffin,OYOY LIVING,25,5,5,450,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite / Red,100% Paraffin,OYOY LIVING,25,5,5,450,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black / White,100% Organic Cotton,OYOY MINI,"19,5",24,24,200,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi,100% Organic Cotton,OYOY MINI,2,43,13,32,India,Y,Y,,,,,,,,3+,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi,100% Organic Cotton,OYOY MINI,1,31,20,56,India,Y,Y,,,,,,,,3+,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi,100% Organic Cotton,OYOY MINI,"1,5",66,62,120,India,Y,Y,,,,,,,,3+,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clear / Green,100% Borosilicate Glass,OYOY LIVING,7,7,7,23,China,,,,,,,,,Y,,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clear / Nutmeg,100% Borosilicate Glass,OYOY LIVING,7,7,7,23,China,,,,,,,,,Y,,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi,100% Organic Cotton,OYOY MINI,1,34,9,27,India,Y,Y,,,,,,,,3+,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi,100% Oeko-Tex Cotton,OYOY MINI,200,140,140,1032,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi,100% Oeko-Tex Cotton,OYOY MINI,"0,1",140,100,416,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi,100% Oeko-Tex Cotton,OYOY MINI,"0,1",100,70,583,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive,100% Paraffin,OYOY LIVING,34,"2,2","2,2",162,Denmark,Y,,,,,,,,,,Y,,Y,Trim Wick to 1/4 before use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taupe,100% Paraffin,OYOY LIVING,34,"2,2","2,2",162,Denmark,Y,,,,,,,,,,Y,,Y,Trim Wick to 1/4 before use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grey,100% Paraffin,OYOY LIVING,34,"2,2","2,2",162,Denmark,Y,,,,,,,,,,Y,,Y,Trim Wick to 1/4 before use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Paraffin,OYOY LIVING,34,"2,2","2,2",162,Denmark,Y,,,,,,,,,,Y,,Y,Trim Wick to 1/4 before use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive,100% Paraffin,OYOY LIVING,28,"2,2","2,2",112,Denmark,Y,,,,,,,,,,Y,,Y,Trim Wick to 1/4 before use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Silicone,OYOY MINI,"0,2",38,38,282,China,N,N,,N,,,,N,,,N,Y,,,,,Y,Y,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite / Blue,100% Silicone,OYOY MINI,16,10,10,192,China,N,N,,N,,,400,,N,3+,N,N,N,Wash after use,,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite / Red,100% Silicone,OYOY MINI,16,10,10,192,China,N,N,,N,,,400,,N,3+,N,N,N,Wash after use,,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taupe,100% Paraffin,OYOY LIVING,28,"2,2","2,2",112,Denmark,Y,,,,,,,,,,Y,,Y,Trim Wick to 1/4 before use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grey,100% Paraffin,OYOY LIVING,28,"2,2","2,2",112,Denmark,Y,,,,,,,,,,Y,,Y,Trim Wick to 1/4 before use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Paraffin,OYOY LIVING,28,"2,2","2,2",112,Denmark,Y,,,,,,,,,,Y,,Y,Trim Wick to 1/4 before use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark,100% Ash,OYOY LIVING,22,"7,5","7,5",313,China,,,,,N,,,,,,N,,,,,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,100% Ash,OYOY LIVING,22,"7,5","7,5",313,China,,,,,N,,,,,,N,,,,,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive,"62% Silicone, 30% Ash, 6% Leather",OYOY LIVING,1,45,10,50,China,,,,N,N,,,N,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aqua,"62% Silicone, 30% Ash, 6% Leather",OYOY LIVING,1,45,10,50,China,,,,N,N,,,N,,,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clear,100% Glass,OYOY LIVING,12,8,8,352,China,,,,N,,,330,,N,,Y,,Y,,,Y,N,Y,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,100% Bamboo,OYOY LIVING,26,28,28,162,Indonesia,,,,N,N,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,100% Bamboo,OYOY LIVING,26,28,28,220,Indonesia,,,,N,N,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow,"100% Oeko-Tex Cotton, 100% Recycled Polyester Filling",OYOY MINI,"21,5",3,14,27,India,Y,N,,N,,,,,,3+,,,Y,Spot clean only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red,"100% Oeko-Tex Cotton, 100% Recycled Polyester Filling",OYOY MINI,"23,5",7,7,"38,5",India,Y,N,,N,,,,,,3+,,,Y,Spot clean only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pale Mint,"100% Oeko-Tex Cotton, 100% Recycled Polyester Filling",OYOY MINI,25,7,7,44,India,Y,N,,N,,,,,,3+,,,Y,Spot clean only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,"Rattan, Metal",OYOY MINI,15,15,15,145,China,,,,,N,,,,,,,N,Y,,,,,,,,,2800,6,20000,,,,N,,,,,,,,,,,,,,,,,,,
Nature,"Rattan, Metal",OYOY MINI,18,12,12,120,China,,,,,N,,,,,,,N,Y,,,,,,,,,2800,6,20000,,,,N,,,,,,,,,,,,,,,,,,,
Offwhite / Red,100% Organic cotton / 100% Microsoft Polyester Fiber,OYOY MINI,"0,5",120,98,450,India,Y,Y,420,N,,,,Y,,2+,,,,"Do not Iron,Do not bleach,Do not tumble dry,Dry flat,Wash separately,or with similar colours.30 Degree machine wash",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beige,100% Marble,OYOY LIVING,3,30,14,2000,Vietnam,,,,N,,Vietnam,,,,,Y,,Y,,,Y,Y,N,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel,"100% Organic Cotton, 100% Polyester Filling",OYOY LIVING,1,22,14,66,India,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,"100% Organic Cotton, 100% Polyester Filling",OYOY LIVING,1,22,14,66,India,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optic Blue,100% Stoneware,OYOY LIVING,9,20,20,700,Vietnam,,,,,,,,,,,Y,,Y,,,Y,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optic Blue,100% Stoneware,OYOY LIVING,9,27,27,1100,Vietnam,,,,,,,,,,,Y,,Y,,,Y,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Red,100% Silicone,OYOY MINI,12,6,6,152,China,,,,N,N,,400,,N,1+,N,,,,,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beige,100% Silicone,OYOY MINI,12,6,6,152,China,,,,N,N,,400,,N,1+,N,,,,,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dusty Blue,100% Silicone,OYOY MINI,"21,5","3,5",17,267,China,,,,N,N,,630,,N,1+,N,,,,,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Red,100% Silicone,OYOY MINI,"21,5","3,5",17,267,China,,,,N,N,,630,,N,1+,N,,,,,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beige,100% Silicone,OYOY MINI,"21,5","3,5",17,267,China,,,,N,N,,630,,N,1+,N,,,,,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,"100% Oeko-Tex Cotton, 100% Recycled Polyesterfilling, 100% Beech",OYOY MINI,21,75,14,370,India,Y,,,N,Y,Germany,,,,0+,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi,"100% Oeko-Tex Cotton, 100% Recycled Polyesterfilling, 100% Beech",OYOY MINI,23,75,12,356,India,Y,,,N,Y,Germany,,,,0+,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mellow,100% Recycled Cotton,OYOY LIVING,"0,2",43,48,150,India,Y,,,,,,,,,,N,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,100% Recycled Cotton,OYOY LIVING,"0,2",43,48,150,India,Y,,,,,,,,,,N,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi,"Cotton Canvas, Pinewood",OYOY MINI,1,78,190,788,China,N,N,,N,N,,,N,,3+,N,,,Wipe with a damp cloth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi,100% Beech,OYOY MINI,"5,5","17,5","17,5",376,China,N,N,,N,N,China,,N,,3+,N,N,,Wipe with a damp cloth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi,100% Cotton,OYOY MINI,1,168,84,2070,India,N,N,1400,N,N,,,N,N,,N,N,Y,30 Degrees Gentle wash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi,100% Cotton,OYOY MINI,1,80,48,560,India,N,N,1400,N,N,,,N,N,,N,N,Y,30 Degrees Gentle wash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nutmeg,100% Cotton,OYOY MINI,52,34,34,370,China,N,N,,,,,,,,3+,,,Y,Wipe with a damp cloth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optic Blue,100% Cotton,OYOY MINI,52,34,34,370,China,N,N,,,,,,,,3+,,,Y,Wipe with a damp cloth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Red,100% Cotton,OYOY MINI,40,26,26,220,China,N,N,,,,,,,,3+,,,Y,Wipe with a damp cloth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite / Pale Blue,100% Organic cotton / 100% Microsoft Polyester Fiber,OYOY MINI,"0,5",120,98,450,India,Y,Y,,N,,,,Y,,2+,N,,,"Do not Iron,Do not bleach,Do not tumble dry,Dry flat,Wash separately,or with similar colours.30 Degree machine wash",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi,"100% Oeko-Tex Cotton, 100% Recycled Polyester Filling",OYOY MINI,"6,5",12,12,123,India,Y,N,,N,N,,,,,0+,N,,Y,"Do not Iron,Do not bleach,Do not tumble dry,Dry flat,Wash separately,or with similar colours.30 Degree machine wash",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi,"100% Oeko-Tex Cotton, 100% Recycled Polyester Filling",OYOY MINI,6,32,12,113,India,Y,N,,N,N,,,,,0+,N,,Y,"Do not Iron,Do not bleach,Do not tumble dry,Dry flat,Wash separately,or with similar colours.30 Degree machine wash",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beige / Saffron / Aqua Blue,"100% Oeko-Tex Cotton, 100% Recycled Polyester Filling",OYOY MINI,"6,5",6,12,65,India,N,N,,Y,,,,,,0+,,,Y,"Do not Iron,Do not bleach,Do not tumble dry,Dry flat,Wash separately,or with similar colours.30 Degree machine wash",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow / Red / Green,"100% Oeko-Tex Cotton, 100% Recycled Polyester Filling",OYOY MINI,"6,5",6,12,70,India,N,N,,Y,,,,,,0+,,,Y,"Do not Iron,Do not bleach,Do not tumble dry,Dry flat,Wash separately,or with similar colours.30 Degree machine wash",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optic Blue,100% Stoneware,OYOY LIVING,31,"8,5","8,5",850,Vietnam,,,,,,,,,,,,,Y,,,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sienna,100% Silicone,OYOY LIVING,1,"16,5",15,210,China,N,N,,N,N,,,N,N,,N,,N,,,Y,Y,Y,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
Dusty Blue,100% Silicone,OYOY LIVING,1,"16,5",15,210,China,N,N,,N,N,,,N,N,,N,,N,,,Y,Y,Y,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
Optic Blue,100% Silicone,OYOY LIVING,1,"16,5",15,210,China,N,N,,N,N,,,N,N,,N,,N,,,Y,Y,Y,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Silicone,OYOY LIVING,1,"16,5",15,210,China,N,N,,N,N,,,N,N,,N,,N,,,Y,Y,Y,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanilla,100% Silicone,OYOY LIVING,1,"16,5",15,210,China,N,N,,N,N,,,N,N,,N,,N,,,Y,Y,Y,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive,100% Silicone,OYOY LIVING,1,"16,5",15,210,China,N,N,,N,N,,,N,N,,N,,N,,,Y,Y,Y,N,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Stoneware,OYOY LIVING,"4,5",5,5,118,Vietnam,,,,,,,,,,,Y,,Y,Handwash only (Not dishwasher safe),,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel / Rose,100% Stoneware,OYOY LIVING,"4,5",5,5,118,Vietnam,,,,,,,,,,,Y,,Y,Handwash only (Not dishwasher safe),,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White / Black,100% Stoneware,OYOY LIVING,"4,5",5,5,118,Vietnam,,,,,,,,,,,Y,,Y,Handwash only (Not dishwasher safe),,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Cotton,OYOY LIVING,1,80,48,560,India,N,N,1400,N,N,,,N,N,,N,N,Y,30 Degrees Gentle wash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black / White / Taupe,"100% Organic Cotton, 100% Polyester Filling",OYOY LIVING,15,24,24,141,India,Y,Y,,Y,,,,Y,,,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay / Optic Blue,"100% Organic Cotton, 100% Polyester Filling",OYOY LIVING,15,24,24,141,India,Y,Y,,Y,,,,Y,,,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi,100% Organic Cotton / 100% Oeko-Tex Polyester Filling,OYOY MINI,23,20,6,105,India,Y,,,N,,,,,,0+,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi,100% Organic Cotton / 100% Oeko-Tex Polyester Filling,OYOY MINI,23,20,6,94,India,Y,,,N,,,,,,0+,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apricot / Blue,"100% Oeko-Tex Cotton, 100% Recycled Polyester Filling",OYOY MINI,7,7,7,30,India,,,,Y,N,,,,,0+,,,Y,"Do not Iron,Do not bleach,Do not tumble dry,Dry flat,Wash separately,or with similar colours.30 Degree machine wash",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow / Rose,"100% Oeko-Tex Cotton, 100% Recycled Polyester Filling",OYOY MINI,7,7,7,30,India,,,,Y,N,,,,,0+,,,Y,"Do not Iron,Do not bleach,Do not tumble dry,Dry flat,Wash separately,or with similar colours.30 Degree machine wash",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,100% Rattan,OYOY MINI,35,35,25,830,Indonesia,,,,,,,,,,,,,Y,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,100% Rattan,OYOY MINI,"28,5",50,30,760,Indonesia,,,,,,,,,,,,,Y,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue,100% Organic Cotton,OYOY LIVING,"0,2",102,96,350,India,N,Y,250,N,Y,,,Y,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mellow,100% Steel,OYOY LIVING,3,"23,5",10,310,China,,,,,,,,,,,N,N,,"Clean with soft,dry cloths. Do not use any detergent or chemicals when cleaning the product",1,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive,100% Steel,OYOY LIVING,3,"23,5",10,310,China,,,,,,,,,,,N,N,,"Clean with soft,dry cloths. Do not use any detergent or chemicals when cleaning the product",1,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steel,100% Stainless Steel,OYOY LIVING,3,"23,5",10,303,China,,,,,,,,,,,N,N,,"Clean with soft,dry cloths. Do not use any detergent or chemicals when cleaning the product",1,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mellow,100% Steel,OYOY LIVING,3,"31,5","24,5",838,China,,,,,,,,,,,N,N,,"Clean with soft,dry cloths. Do not use any detergent or chemicals when cleaning the product",1,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steel,100% Stainless Steel,OYOY LIVING,3,"31,5","24,5",819,China,,,,,,,,,,,N,N,,"Clean with soft,dry cloths. Do not use any detergent or chemicals when cleaning the product",1,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Steel,OYOY LIVING,70,52,"37,5",5600,China,,,,,,,,,,,,N,,"Clean with soft,dry cloths. Do not use any detergent or chemicals when cleaning the product",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive,100% Steel,OYOY LIVING,70,52,"37,5",5600,China,,,,,,,,,,,,N,,"Clean with soft,dry cloths. Do not use any detergent or chemicals when cleaning the product",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,100% Steel,OYOY LIVING,70,52,"37,5",5600,China,,,,,,,,,,,,N,,"Clean with soft,dry cloths. Do not use any detergent or chemicals when cleaning the product",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,100% Steel,OYOY LIVING,110,75,"37,5",11900,China,,,,,,,,,,,,N,,"Clean with soft,dry cloths. Do not use any detergent or chemicals when cleaning the product",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choko,"75% Polyester, 17% Cotton, 4% Polyamide, 4% Viscose, PE Coating",OYOY LIVING,54,52,52,810,China,,N,,N,,,,,,,N,N,Y,Wipe with a damp cloth,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Cotton,OYOY MINI,40,26,26,220,China,N,N,,,,,,,,3+,,,Y,Wipe with a damp cloth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dusty Blue / Green,"100% Silicone, Beech Wood",OYOY MINI,"1,5",7,7,37,China,,,,,N,China,,,,6M+,,,,"Keep the wire away from children. Wood and silicone can separate. When washing,clean on the silicone part.Ensure the wood is fully dry before reconnecting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Red / Vanilla,"100% Silicone, Beech Wood",OYOY MINI,"1,5",7,7,37,China,N,N,,,N,China,,,,6M+,,,,"Keep the wire away from children. Wood and silicone can separate. When washing,clean on the silicone part.Ensure the wood is fully dry before reconnecting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite / Pale Green,100% Silicone,OYOY MINI,"0,2","35,5",43,235,China,N,N,,N,,,,,,1+,N,,,Clean and dry after use,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite / Red,100% Silicone,OYOY MINI,"0,2","35,5",43,235,China,N,N,,N,,,,,,1+,N,,,Clean and dry after use,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue,"100% Organic Cotton, 100% Polyester Filling",OYOY LIVING,1,22,14,66,India,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clear,100% Glass,OYOY LIVING,24,14,14,1305,China,,,,N,,,2500,,,,Y,,Y,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi,"Cotton, Acrylic",OYOY MINI,8,300,8,270,India,N,,,Y,,,,,,0+,N,,Y,"40 Degree machine wash,Do not Iron,Do not Tumble,Do not bleach,Do not dry clean",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay / Red,"Cotton Canvas, Pinewood",OYOY MINI,"0,5",190,78,764,China,N,N,,N,N,,,,,,N,,,Wipe with a damp cloth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel,100% Silicone,OYOY MINI,13,12,"7,5",170,China,,,,N,N,,160,,Y,1+,N,,,,,,,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mellow,100% Silicone,OYOY MINI,13,12,"7,5",170,China,,,,N,N,,160,,Y,1+,N,,,,,,,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dusty Blue,100% Silicone,OYOY MINI,12,6,6,152,China,,,,N,N,,400,,N,1+,N,,,,,,Y,Y,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
