Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Barcode,Variant Grams,Variant Inventory Tracker,Variant Inventory Quantity,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status
602_GUNGDOT_1426,"ALAC PROMENADKOPPEL ANITGLID CERICE 2,0x250CM TWISTLOCK-HAK",<br><br>,ALAC,Hund,Koppel,"ALAC, Hund, Koppel",True,Title,Default Title,602.GUNGDOT.1426,,100,shopify,49,deny,manual,223.86,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A602.1426.jpg,1,active
602_GUNGDOT_6001,ALAC KOPPEL LÄDER SVART/LIMEGRÖN 1.2x180CM,"Svensktillverkat koppel av svart/limegrönt läder<br>Tillverkat i Sverige
ALAC använder endast miljöcertifierat svenskt läder
12mm brett
180cm långt<br>",ALAC,Hund,Koppel,"ALAC, Hund, Koppel",True,Title,Default Title,602.GUNGDOT.6001,7393603109731,100,shopify,4,deny,manual,365.47,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A602.6001.jpg,1,active
602_GUNGDOT_6002,ALAC KOPPEL LÄDER SVART/BLÅ 1.2x180CM,"Svensktillverkat koppel av svart/blått läder<br>Tillverkat i Sverige
ALAC använder endast miljöcertifierat svenskt läder
12mm brett
180cm långt<br>",ALAC,Hund,Koppel,"ALAC, Hund, Koppel",True,Title,Default Title,602.GUNGDOT.6002,7393603109755,100,shopify,8,deny,manual,365.47,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A602.6002.jpg,1,active
602_GUNGDOT_6003,ALAC KOPPEL LÄDER SVART/CERISE 1.2x180CM,"Svensktillverkat koppel av svart/cerise läder<br>Tillverkat i Sverige
ALAC använder endast miljöcertifierat svenskt läder
12mm brett
180cm långt<br>",ALAC,Hund,Koppel,"ALAC, Hund, Koppel",True,Title,Default Title,602.GUNGDOT.6003,7393603109786,100,shopify,4,deny,manual,365.47,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A602.6003.jpg,1,active
602_GUNGDOT_6004,ALAC KOPPEL LÄDER SVART/LILA 1.2x180CM,"Svensktillverkat koppel av svart/lila läder<br>Tillverkat i Sverige
ALAC använder endast miljöcertifierat svenskt läder
12mm brett
180cm långt<br>",ALAC,Hund,Koppel,"ALAC, Hund, Koppel",True,Title,Default Title,602.GUNGDOT.6004,7393603109793,100,shopify,1,deny,manual,365.47,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A602.6004.jpg,1,active
615_GUNGDOT_4604,ALAC KOPPEL NYLON LJUSBLÅ 10MMx190CM,"Svensktillverkat koppel av ljusblå nylon<br>Tillverkat i Sverige
10mm brett
190cm långt<br>",ALAC,Hund,Koppel,"ALAC, Hund, Koppel",True,Title,Default Title,615.GUNGDOT.4604,7393603140550,100,shopify,5,deny,manual,43.82,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A615.4604.jpg,1,active
615_GUNGDOT_4608,ALAC KOPPEL NYLON NEONGUL 10MMx190CM,"Svensktillverkat koppel av neongul nylon<br>Tillverkat i Sverige
10mm brett
190cm långt<br>",ALAC,Hund,Koppel,"ALAC, Hund, Koppel",True,Title,Default Title,615.GUNGDOT.4608,7393603140475,100,shopify,12,deny,manual,43.82,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A615.4608.jpg,1,active
615_GUNGDOT_4610,ALAC KOPPEL NYLON RÖD 10MMx190CM,"Svensktillverkat koppel av röd nylon<br>Tillverkat i Sverige
10mm brett
190cm långt<br>",ALAC,Hund,Koppel,"ALAC, Hund, Koppel",True,Title,Default Title,615.GUNGDOT.4610,7393603140420,100,shopify,1,deny,manual,43.82,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A615.4610.jpg,1,active
615_GUNGDOT_4612,ALAC KOPPEL NYLON GRÖN 10MMx190CM,"Svensktillverkat koppel av grön nylon<br>Tillverkat i Sverige
10mm brett
190cm långt<br>",ALAC,Hund,Koppel,"ALAC, Hund, Koppel",True,Title,Default Title,615.GUNGDOT.4612,7393603140437,100,shopify,2,deny,manual,43.82,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A615.4612.jpg,1,active
615_GUNGDOT_4614,ALAC KOPPEL NYLON BRUN 10MMx190CM,"Svensktillverkat koppel av brunt nylon<br>Tillverkat i Sverige
10mm brett
190cm långt<br>",ALAC,Hund,Koppel,"ALAC, Hund, Koppel",True,Title,Default Title,615.GUNGDOT.4614,7393603143841,100,shopify,0,deny,manual,43.82,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A615.4614.jpg,1,active
